label,longitude_rad,latitude_rad,tc_ssb_input_day,tc_constellation_day,delay_seconds,forward_iterations,forward_converged,ssb_roundtrip_day,ssb_roundtrip_error_seconds,constellation_roundtrip_error_seconds,passed
catalog_direct,4.71238898038469,0.5235987755982988,25.0,25.004849222762076,418.9728466432426,4,True,25.0,0.0,0.0,True
catalog_reflected,2.0850445242531537,-0.49470878860178,25.0,24.995087824723388,-424.41194389912056,4,True,25.0,0.0,0.0,True
random_sky_1,4.89465975175387,-0.5144897254009089,25.0,25.005019378555772,433.6743072188181,3,True,25.0,0.0,0.0,True
random_sky_2,1.969092378295049,0.14377203713464967,25.0,24.994341757299004,-488.8721693660903,4,True,25.0,0.0,0.0,True
random_sky_3,5.812253582883725,-0.08902619013244348,25.0,25.00380469830168,328.72593326489766,4,True,25.0,0.0,0.0,True
