parameter,median,ci90_low,ci90_high,ci90_width
chirp_mass,2997655.6795284096,2994002.212280875,3000854.9354044474,6852.723123572301
mass_ratio,0.25063678324917305,0.24847116448661255,0.2527658201450035,0.0042946556583909334
spin_1z,0.3937796959534242,0.37952946127608717,0.4076733133087485,0.028143852032661343
spin_2z,0.6207966983697665,0.5556153145804568,0.6824875398578767,0.12687222527741993
coalescence_time,25.011077631825316,25.011050769947033,25.011107291613797,5.6521666763842404e-05
coalescence_phase,1.8247799929665507,1.8107371853409397,1.8382931802728297,0.027555994931889982
luminosity_distance,44940.26304709484,42877.48610970217,46781.45615791608,3903.9700482139087
inclination,1.8848334259989805,1.882762049517196,1.88659108882676,0.0038290393095641306
longitude,2.2150255054841583,2.0577842023790147,2.3429731663828797,0.28518896400386495
latitude,-0.794583655577036,-0.9057380110133421,-0.6926558285385219,0.21308218247482014
psi,1.8313727410188152,1.7450333110651735,1.929564998691083,0.18453168762590955
