parameter,median,ci90_low,ci90_high,ci90_width
chirp_mass,2996122.1422291514,2992059.089850183,3000231.681865492,8172.592015308794
mass_ratio,0.2502196589735046,0.24808612668379487,0.25246861585427915,0.004382489170484283
spin_1z,0.3951500708597995,0.3813940243476029,0.4083315595623636,0.02693753521476072
spin_2z,0.612872437463687,0.5531452701907359,0.6753420944874372,0.12219682429670131
coalescence_time,25.011077744138177,25.011050665467007,25.011105092796548,5.4427329541084646e-05
coalescence_phase,1.8245242768380623,1.8094467820678763,1.8385202421305882,0.02907346006271183
luminosity_distance,44752.5438350883,38688.72217203081,48638.76344619646,9950.041274165655
inclination,1.8851802275059475,1.877170866359741,1.8894729398329524,0.012302073473211328
longitude,2.18135686328561,1.7803258392532617,2.5398372091419916,0.7595113698887299
latitude,-0.7289212195695292,-1.0664836595025127,-0.3839886528605923,0.6824950066419204
psi,1.8705722544871901,1.6182723882601802,2.101273360713882,0.48300097245370166
