parameter,injected,searched,searched_abs_error,reflected,reflected_abs_error,fim_error
chirp_mass,3000000.0,2988490.1482422324,11509.85175776761,2988490.1482422324,11509.85175776761,2125.6049809016395
inclination,1.2566370614359172,1.8829451586232127,0.6263080971872954,1.2586474949665805,0.0020104335306632137,0.011928204945118
latitude,0.5235987755982988,0.09959563743388132,0.4240031381644175,1.1257180984306827,0.6021193228323839,0.2064045590563613
longitude,4.71238898038469,1.687007922583281,3.0253810578014084,5.307217789407137,0.594828809022447,0.1723821420660434
luminosity_distance,47689.47472418477,39062.50866949522,8626.966054689554,39062.50866949522,8626.966054689554,6224.2426374936085
mass_ratio,0.25,0.2462632216435903,0.0037367783564097035,0.2462632216435903,0.0037367783564097035,0.0011974868688589
psi,0.9424777960769379,2.0951968757198554,1.1527190796429174,1.3370865688085456,0.39460877273160766,0.0278486332218467
spin_1z,0.4,0.4062726027398945,0.006272602739894495,0.4062726027398945,0.006272602739894495,0.0075474171754286
spin_2z,0.6,0.5658009070824209,0.034199092917579055,0.5658009070824209,0.034199092917579055,0.0349978249618167
