parameter,median,ci90_low,ci90_high,ci90_width
chirp_mass,2997515.6539004194,2993428.6746714856,3000388.36362548,6959.688953994308
mass_ratio,0.2508189649009946,0.24922327580010512,0.2528900648163704,0.0036667890162652705
spin_1z,0.3929041924978486,0.37735972283965047,0.4009393117929898,0.023579588953339337
spin_2z,0.6190035926161351,0.5988438889687624,0.6885127702724885,0.08966888130372608
reference_time,24.997628456354903,24.997598817792888,24.997632217490366,3.339969747884197e-05
reference_phase,4.439837914302716,4.438546469804012,4.4436051814629405,0.005058711658928239
luminosity_distance,45579.5994787072,43668.207193239934,48338.77756069941,4670.570367459477
inclination,1.2558852074296054,1.2541232309425026,1.2577013329109175,0.003578101968414904
longitude,4.623414742217351,4.594707664791608,4.830994050050113,0.23628638525850487
latitude,0.3370419319404353,0.18522561950620595,0.4770672904506317,0.2918416709444257
psi,2.5075040992622446,2.481981244963057,2.5813874485323933,0.09940620356933616
