parameter,injected,searched,searched_abs_error,reflected,reflected_abs_error,fim_error
chirp_mass,3000000.0,2998440.296417328,1559.7035826719366,2998440.296417328,1559.7035826719366,2170.1975246388038
inclination,1.2566370614359172,1.8847947986545066,0.6281577372185894,1.2567978549352865,0.00016079349936926057,0.0031975681807661
latitude,0.5235987755982988,-0.8131771915487074,1.3367759671470063,0.1921870286877446,0.3314117469105542,0.2574345341067088
longitude,4.71238898038469,2.2022180838035323,2.5101708965811573,4.714538068009619,0.002149087624929713,0.2899364054718512
luminosity_distance,47689.47472418477,44940.89226799301,2748.5824561917616,44940.89226799301,2748.5824561917616,4282.802735655575
mass_ratio,0.25,0.2508072634580542,0.0008072634580542082,0.2508072634580542,0.0008072634580542082,0.0012254913227802
psi,0.9424777960769379,1.836346661142927,0.8938688650659892,0.978843207473039,0.036365411396101055,0.1921942132953471
spin_1z,0.4,0.393648429074951,0.0063515709250490104,0.393648429074951,0.0063515709250490104,0.0077800161062194
spin_2z,0.6,0.6229062350816444,0.022906235081644466,0.6229062350816444,0.022906235081644466,0.0351895138655131
