parameter,fim_error
chirp_mass,2170.1975246388033
mass_ratio,0.0012254913227802582
spin_1z,0.007780016106219473
spin_2z,0.035189513865513146
coalescence_time,1.6169314872442746e-05
coalescence_phase,0.008183022171950471
luminosity_distance,4282.802735655575
inclination,0.003197568180766142
longitude,0.28993640547185123
latitude,0.2574345341067088
psi,0.19219421329534714
