parameter,injected,searched,searched_abs_error,reflected,reflected_abs_error,fim_error
chirp_mass,3000000.0,2996265.7058130503,3734.29418694973,2996265.7058130503,3734.29418694973,2468.8355174947433
inclination,1.2566370614359172,1.8850134897259003,0.6283764282899831,1.2565791638638928,5.789757202445678e-05,0.0025708810946937426
latitude,0.5235987755982988,-0.7854059927571773,1.309004768355476,0.21809714376585249,0.30550163183244633,0.2622255003926167
longitude,4.71238898038469,2.203681319994418,2.5087076603902716,4.704024413128856,0.008364567255833677,0.2862278898615744
luminosity_distance,47689.47472418477,45211.887724271546,2477.5869999132265,45211.887724271546,2477.5869999132265,4065.3310468848867
mass_ratio,0.25,0.250581907827399,0.0005819078273989753,0.250581907827399,0.0005819078273989753,0.0012907487491485104
psi,0.9424777960769379,1.8400378759178329,0.8975600798408949,0.9718415018269049,0.02936370574996694,0.18540926193124574
spin_1z,0.4,0.39186371050269664,0.008136289497303384,0.39186371050269664,0.008136289497303384,0.007921584676141015
spin_2z,0.6,0.628415834489436,0.028415834489436076,0.628415834489436,0.028415834489436076,0.0360809058334417
