parameter,baseline_median,baseline_ci90_low,baseline_ci90_high,baseline_ci90_width,five_day_median,five_day_ci90_low,five_day_ci90_high,five_day_ci90_width,ci90_width_ratio_5day_over_baseline
chirp_mass,2996122.1422291514,2992059.089850183,3000231.681865492,8172.592015308794,2997570.19753838,2993980.9580649817,3001150.4849285176,7169.526863535866,0.8772647466196772
coalescence_phase,1.8245242768380623,1.8094467820678763,1.8385202421305882,0.02907346006271183,1.8244067181080126,1.8097612475295584,1.8385691570476008,0.028807909518042463,0.9908662214921591
coalescence_time,25.011077744138177,25.011050665467007,25.011105092796548,5.4427329541084646e-05,25.011077400399873,25.011050545124007,25.011104708957543,5.416383353562537e-05,0.9951587555795774
inclination,1.8851802275059475,1.877170866359741,1.8894729398329524,0.012302073473211328,1.8850397297797503,1.876505919779916,1.889346610025571,0.012840690245654818,1.0437826008450013
latitude,-0.7289212195695292,-1.0664836595025127,-0.3839886528605923,0.6824950066419204,-0.7396896896959974,-1.082042549205827,-0.4062275179466469,0.6758150312591801,0.990212418673057
longitude,2.18135686328561,1.7803258392532617,2.5398372091419916,0.7595113698887299,2.2052402068381727,1.804483766655134,2.570422488421869,0.7659387217667348,1.0084624827656583
luminosity_distance,44752.5438350883,38688.72217203081,48638.76344619646,9950.041274165655,44394.54432492117,38329.99110185741,48571.12785167507,10241.136749817655,1.0292557053414244
mass_ratio,0.2502196589735046,0.24808612668379487,0.25246861585427915,0.004382489170484283,0.2506682772985394,0.24859280455181462,0.2527285319054365,0.00413572735362186,0.9436936847387224
psi,1.8705722544871901,1.6182723882601802,2.101273360713882,0.48300097245370166,1.8524894424878215,1.5905496535433192,2.088355850090996,0.49780619654767655,1.0306525761610015
spin_1z,0.3951500708597995,0.3813940243476029,0.4083315595623636,0.02693753521476072,0.3938681699674447,0.3804364272145863,0.4069243870386952,0.026487959824108898,0.9833104481509699
spin_2z,0.612872437463687,0.5531452701907359,0.6753420944874372,0.12219682429670131,0.621038059091747,0.5614215828372677,0.6805633784879453,0.11914179565067762,0.9749991158640432
