parameter,fim_error
chirp_mass,2125.6049809016395
mass_ratio,0.0011974868688589503
spin_1z,0.007547417175428624
spin_2z,0.034997824961816734
reference_time,8.018941273619288e-06
reference_phase,0.009749872989741925
luminosity_distance,6224.2426374936085
inclination,0.011928204945118068
longitude,0.17238214206604344
latitude,0.20640455905636135
psi,0.027848633221846702
