parameter,median,ci90_low,ci90_high,ci90_width
chirp_mass,2996323.1776024313,2992731.040171705,2999212.334746818,6481.294575112872
mass_ratio,0.25293433545482374,0.2504243039844937,0.2534654529874205,0.0030411490029267907
spin_1z,0.37889908864301736,0.3731181927735556,0.3909896719871427,0.01787147921358706
spin_2z,0.6884872258442374,0.6411833006530402,0.7116992314947436,0.07051593084170338
reference_time,24.997608043891297,24.99759990790256,24.997630594832213,3.068692965157993e-05
reference_phase,6.010210504170437,6.000537279386797,6.011279027222356,0.010741747835559146
luminosity_distance,42978.36251658482,42072.657823661066,45242.18689225053,3169.529068589465
inclination,1.2454617797740917,1.2430540535743009,1.2501192196314892,0.007065166057188321
longitude,5.243276052502156,5.1153879406338945,5.337963636026711,0.2225756953928162
latitude,0.04120529830652861,-0.009000469253393671,0.1927181156559783,0.20171858490937197
psi,1.1548775226918724,1.098161203188678,1.2022262549039517,0.1040650517152737
