parameter,fim_error
chirp_mass,2462.629081053876
mass_ratio,0.0012723997262028416
spin_1z,0.007848598894975765
spin_2z,0.0358505122585283
coalescence_time,1.622383153189271e-05
coalescence_phase,0.008055380354929755
luminosity_distance,4033.6665747905563
inclination,0.002734145106392553
longitude,0.29256926615742973
latitude,0.26360439036245237
psi,0.18774564709561042
