parameter,fim_error
chirp_mass,2468.8355174947433
mass_ratio,0.0012907487491485104
spin_1z,0.007921584676141015
spin_2z,0.0360809058334417
reference_time,8.326970375035574e-06
reference_phase,0.0020519845062886674
luminosity_distance,4065.3310468848867
inclination,0.0025708810946937426
longitude,0.2862278898615744
latitude,0.2622255003926167
psi,0.18540926193124574
