parameter,median,ci90_low,ci90_high,ci90_width
chirp_mass,2997570.19753838,2993980.9580649817,3001150.4849285176,7169.526863535866
mass_ratio,0.2506682772985394,0.24859280455181462,0.2527285319054365,0.00413572735362186
spin_1z,0.3938681699674447,0.3804364272145863,0.4069243870386952,0.026487959824108898
spin_2z,0.621038059091747,0.5614215828372677,0.6805633784879453,0.11914179565067762
coalescence_time,25.011077400399873,25.011050545124007,25.011104708957543,5.416383353562537e-05
coalescence_phase,1.8244067181080126,1.8097612475295584,1.8385691570476008,0.028807909518042463
luminosity_distance,44394.54432492117,38329.99110185741,48571.12785167507,10241.136749817655
inclination,1.8850397297797503,1.876505919779916,1.889346610025571,0.012840690245654818
longitude,2.2052402068381727,1.804483766655134,2.570422488421869,0.7659387217667348
latitude,-0.7396896896959974,-1.082042549205827,-0.4062275179466469,0.6758150312591801
psi,1.8524894424878215,1.5905496535433192,2.088355850090996,0.49780619654767655
