parameter,injected,searched,searched_abs_error,reflected,reflected_abs_error,fim_error
chirp_mass,3000000.0,2996931.6060455176,3068.393954482395,2996931.6060455176,3068.393954482395,2462.629081053876
inclination,1.2566370614359172,1.8851934325518775,0.6285563711159603,1.2563992210379156,0.00023784039800167633,0.0027341451063925
latitude,0.5235987755982988,-0.785042108347971,1.3086408839462698,0.2257222570707605,0.2978765185275383,0.2636043903624523
longitude,4.71238898038469,2.1707391377638614,2.5416498426208283,4.72700397287257,0.01461499248788023,0.2925692661574297
luminosity_distance,47689.47472418477,45546.46387292139,2143.0108512633815,45546.46387292139,2143.0108512633815,4033.666574790556
mass_ratio,0.25,0.25044099500571393,0.0004409950057139289,0.25044099500571393,0.0004409950057139289,0.0012723997262028
psi,0.9424777960769379,1.860925452360817,0.918447656283879,0.9794155133952984,0.036937717318360486,0.1877456470956104
spin_1z,0.4,0.39462862319564895,0.005371376804351069,0.39462862319564895,0.005371376804351069,0.0078485988949757
spin_2z,0.6,0.6167840851485685,0.01678408514856855,0.6167840851485685,0.01678408514856855,0.0358505122585283
