window,interpolation,frequency_bins,tc_ssb_day,tc_constellation_day,delay_seconds,relative_l2,max_relative_absolute,maximum_phase_residual_rad,noise_weighted_overlap,noise_weighted_mismatch,full_log_likelihood_ssb,full_log_likelihood_constellation,full_log_likelihood_delta,ssb_waveform_seconds,constellation_waveform_seconds,passed
official_baseline,False,4299,25.0,25.004849222762076,418.9728466432426,0.0,0.0,7.861461036209054e-17,1.0,0.0,-877224.007670934,-877224.007670934,0.0,0.5655000389999998,0.018312688999998272,True
official_baseline,True,4299,25.0,25.004849222762076,418.9728466432426,0.0,0.0,8.444818690081851e-17,1.0,0.0,-877223.1411817856,-877223.1411817856,0.0,1.035035845000003,0.028754001999999446,True
task_five_day,False,4299,25.0,25.004849222762076,418.9728466432426,0.0,0.0,7.861461036209054e-17,1.0,0.0,-878584.1118505243,-878584.1118505243,0.0,0.012167359000002875,0.011856428000001529,True
task_five_day,True,4299,25.0,25.004849222762076,418.9728466432426,0.0,0.0,8.444818690081851e-17,1.0,0.0,-878583.9082442953,-878583.9082442953,0.0,0.027099696000000506,0.026381610999997918,True
